member_casual,route,route_frequency
casual,Leavitt St & North Ave - Public Rack - Pulaski Rd & Armitage Ave,1
casual,Field Museum - Wabash Ave & Grand Ave,1
casual,Greenview Ave & Fullerton Ave - Hampden Ct & Diversey Ave,1
casual,Malcolm X College - Halsted St & Maxwell St,1
casual,Racine Ave & Washington Blvd - Dearborn St & Adams St,1
casual,Desplaines St & Jackson Blvd - Clinton St & Tilden St,1
casual,Clarendon Ave & Gordon Ter - Dearborn St & Erie St,1
casual,Stony Island Ave & 67th St - Museum of Science and Industry,1
casual,Clark St & Schiller St - Loomis St & Lexington St,1
casual,Calumet Ave & 21st St - Loomis St & Lexington St,1
casual,State St & Chicago Ave - Racine Ave & 18th St,1
casual,Spaulding Ave & Division St - Public Rack - Spaulding Ave & North Ave,1
casual,Wolcott (Ravenswood) Ave & Montrose Ave - Albany Ave & Belmont Ave,1
casual,Leavitt St & Armitage Ave - Damen Ave & Walnut (Lake) St,1
casual,Damen Ave & Thomas St (Augusta Blvd) - Ogden Ave & Congress Pkwy,1
casual,Larrabee St & Kingsbury St - State St & Harrison St,1
casual,State St & Randolph St - Halsted St & Polk St,1
casual,Sheffield Ave & Wellington Ave - Field Blvd & South Water St,1
casual,Clark St & Chicago Ave - Wood St & Taylor St (Temp),1
casual,Milwaukee Ave & Grand Ave - Halsted St & Roscoe St,1
