member_casual,route,route_frequency,avg_ride_length_second
casual,Leavitt St & Armitage Ave - St. Louis Ave & Fullerton Ave,1,582
casual,Paulina Ave & North Ave - St. Louis Ave & Fullerton Ave,1,2382
casual,Clark St & Ida B Wells Dr - Green St & Washington Blvd,1,997
casual,Broadway & Barry Ave - Lincoln Ave & Addison St,1,664
casual,Wabash Ave & 9th St - Racine Ave & Washington Blvd,1,651
casual,Kilbourn & Roscoe - Public Rack - Foster Ave & Drake Ave,1,1761
casual,Central Park Ave & Bloomingdale Ave - Western Ave & Walton St,1,926
casual,Kenosha & Wellington - Drake Ave & Addison St,1,2735
casual,McClurg Ct & Ohio St - Clark St & Winnemac Ave,1,2495
casual,DuSable Lake Shore Dr & North Blvd - Clark St & Winnemac Ave,1,1766
casual,Burnham Harbor - Lakeview Ave & Fullerton Pkwy,1,1823
casual,California Ave & 21st St - Lakeview Ave & Fullerton Pkwy,1,261
casual,Stave St & Armitage Ave - Wells St & Hubbard St,1,999
casual,Dearborn St & Adams St - Wells St & Hubbard St,1,553
casual,Damen Ave & Pershing Rd - Laflin St & Cullerton St,1,1329
casual,Burnham Harbor - Harper Ave & 59th St,1,2251
casual,Clark St & 9th St (AMLI) - Halsted St & 35th St,1,6469
casual,Western Ave & Leland Ave - Winchester Ave & Elston Ave,1,965
casual,Vernon Ave & 75th St - Woodlawn Ave & 75th St,1,449
casual,Sawyer Ave & Irving Park Rd - Francisco Ave & Bloomingdale Ave,1,993
casual,Broadway & Ridge Ave - N Shore Channel Trail & Argyle St,1,1408
casual,Western Ave & Walton St - Avondale Ave & Irving Park Rd,1,505
casual,California Ave & Fletcher St - Stave St & Armitage Ave,1,738
casual,Cottage Grove Ave & 47th St - Prairie Ave & 43rd St,1,447
casual,Lakefront Trail & Bryn Mawr Ave - Canal St & Madison St,1,3942
casual,McCormick Place - Ashland Ave & Grand Ave,1,2151
casual,Franklin St & Adams St (Temp) - Clinton St & Jackson Blvd,1,74769
casual,Michigan Ave & Lake St - Michigan Ave & 18th St,1,747
casual,Cityfront Plaza Dr & Pioneer Ct - Michigan Ave & 18th St,1,1167
casual,Wabash Ave & Grand Ave - Michigan Ave & 18th St,1,669
casual,Sheridan Rd & Lawrence Ave - Wilton Ave & Diversey Pkwy,1,1173
casual,Damen Ave & Foster Ave - Sheridan Rd & Noyes St (NU),1,1776
casual,Wabash Ave & 16th St - Canal St & Monroe St,1,922
casual,Franklin St & Lake St - Dearborn Pkwy & Delaware Pl,1,604
casual,Seeley Ave & Roscoe St - Damen Ave & Grand Ave,1,1589
casual,Dusable Harbor - Greenview Ave & Diversey Pkwy,1,1404
casual,California Ave & Fletcher St - Damen Ave & Wellington Ave,1,359
casual,Clark St & Bryn Mawr Ave - Southport Ave & Roscoe St,1,1177
casual,St. Clair St & Erie St - Halsted St & North Branch St,1,1320
casual,Leavitt St & Belmont Ave - Broadway & Barry Ave,1,609
casual,Sheridan Rd & Montrose Ave - Broadway & Barry Ave,1,626
casual,Western Ave & Grace St - Lincoln Ave & Sunnyside Ave,1,489
casual,Noble St & Milwaukee Ave - Malcolm X College,1,1403
casual,Damen Ave & Leland Ave - Manor Ave & Leland Ave,1,364
casual,State St & Van Buren St - Wacker Dr & Washington St,1,9873
casual,Michigan Ave & Jackson Blvd - Elizabeth St & Randolph St,1,9540
casual,LaSalle St & Illinois St - Desplaines St & Randolph St,1,441
casual,Eggleston Ave & 69th St - Carpenter St & 63rd St,1,751
casual,63rd St Beach - Prairie Ave & Garfield Blvd,1,1290
casual,Ashland Ave & Augusta Blvd - Clinton St & Jackson Blvd,1,812
casual,Western Ave & Leland Ave - Clark St & Columbia Ave,1,1099
casual,Ashland Ave & Grace St - Public Rack - Keystone Ave & North Ave,1,1573
casual,Lincoln Ave & Fullerton Ave - Hoyne Ave & Balmoral Ave,1,1935
casual,Damen Ave & Division St - Leavitt St & Armitage Ave,1,370
casual,Ashland Ave & Wrightwood Ave - Clark St & Armitage Ave,1,1076
casual,Morgan Ave & 14th Pl - W Oakdale Ave & N Broadway,1,915
casual,Cityfront Plaza Dr & Pioneer Ct - Normal Ave & Archer Ave,1,1202
casual,State St & Chicago Ave - Racine Ave & 18th St,1,1100
casual,Humboldt Blvd & Armitage Ave - LaSalle St & Jackson Blvd,1,3519
casual,MLK Jr Dr & Pershing Rd - Calumet Ave & 35th St,1,325
casual,Halsted St & North Branch St - Sangamon St & Washington Blvd,1,387
casual,Lincoln Ave & Diversey Pkwy - Broadway & Sheridan Rd,1,681
casual,LaSalle Dr & Huron St - State St & Harrison St,1,9050
casual,Wells St & Institute Pl - Ogden Ave & Race Ave,1,7318
casual,State St & Van Buren St - Halsted St & Polk St,1,763
casual,Clinton St & Madison St - Clinton St & 18th St,1,1032
casual,Lakefront Trail & Wilson Ave - Broadway & Ridge Ave,1,850
casual,Clark St & Lake St - Honore St & Division St,1,2359
casual,University Ave & 57th St - Broadway & Thorndale Ave,1,7597
casual,Kedzie Ave & Foster Ave - Warren Park West,1,1192
casual,Campbell Ave & Irving Park Rd - Leavitt St & Addison St,1,300
casual,Central Park Ave & Bloomingdale Ave - Humboldt Blvd & Armitage Ave,1,606
casual,Franklin St & Lake St - Ashland Ave & Chicago Ave,1,596
casual,Millennium Park - Ashland Ave & Chicago Ave,1,1742
casual,Southport Ave & Waveland Ave - Rockwell St & Fletcher St,1,1187
casual,California Ave & Winona St - Budlong Woods Library,1,504
casual,Wells St & Institute Pl - Stetson Ave & South Water St,1,466
casual,Theater on the Lake - Southport Ave & Waveland Ave,1,1049
casual,Sheffield Ave & Waveland Ave - Paulina St & Flournoy St,1,1436
casual,Michigan Ave & 18th St - Indiana Ave & 26th St,1,353
casual,Canal St & Madison St - Wood St & Hubbard St,1,761
casual,Warren Park East - Glenwood Ave & Morse Ave,1,352
casual,Sheffield Ave & Willow St - Damen Ave & Clybourn Ave,1,563
casual,Hoyne Ave & Balmoral Ave - Clark St & Leland Ave,1,732
casual,Broadway & Cornelia Ave - Ashland Ave & Wellington Ave,1,842
casual,Broadway & Argyle St - Ashland Ave & Grace St,1,670
casual,Southport Ave & Roscoe St - California Ave & Fletcher St,1,941
casual,Orleans St & Elm St - Milwaukee Ave & Wabansia Ave,1,1257
casual,Sheffield Ave & Wellington Ave - Lakefront Trail & Bryn Mawr Ave,1,3924
