weeknum,end_station_name,member_casual,count_of_users
17,DuSable Lake Shore Dr & North Blvd,casual,145
20,Wells St & Huron St,casual,145
27,Clinton St & Lake St,casual,145
29,Larrabee St & Kingsbury St,casual,145
16,LaSalle St & Illinois St,casual,144
20,Halsted St & Fulton St,casual,144
25,Carpenter St & Huron St,casual,144
26,Mies van der Rohe Way & Chestnut St,casual,144
30,Clinton St & Lake St,casual,144
18,Sheffield Ave & Webster Ave,casual,143
18,Wells St & Evergreen Ave,casual,143
24,California Ave & Milwaukee Ave,casual,143
24,Eckhart Park,casual,143
30,Lakefront Trail & Wilson Ave,casual,143
7,Millennium Park,casual,142
13,Shedd Aquarium,casual,142
15,Racine Ave & Fullerton Ave,casual,142
19,Sheffield Ave & Webster Ave,casual,142
23,Lake Park Ave & 56th St,casual,142
24,Honore St & Division St,casual,142
29,Milwaukee Ave & Grand Ave,casual,142
19,Canal St & Adams St,casual,141
29,Clarendon Ave & Leland Ave,casual,141
30,Field Blvd & South Water St,casual,141
15,Wells St & Evergreen Ave,casual,140
18,DuSable Lake Shore Dr & Wellington Ave,casual,140
21,Clark St & Wrightwood Ave,casual,140
26,Clinton St & Madison St,casual,140
15,Michigan Ave & Lake St,casual,139
15,Wilton Ave & Belmont Ave,casual,139
17,LaSalle St & Illinois St,casual,139
21,State St & Van Buren St,casual,139
21,Peoria St & Jackson Blvd,casual,139
21,Kimbark Ave & 53rd St,casual,139
23,Orleans St & Hubbard St,casual,139
23,Field Museum,casual,139
25,Shore Dr & 55th St,casual,139
25,Lake Park Ave & 56th St,casual,139
28,Clinton St & Lake St,casual,139
30,Damen Ave & Pierce Ave,casual,139
15,DuSable Lake Shore Dr & Belmont Ave,casual,138
18,Ellis Ave & 55th St,casual,138
22,DuSable Lake Shore Dr & Wellington Ave,casual,138
24,Field Museum,casual,138
28,Lincoln Ave & Belle Plaine Ave,casual,138
13,Wells St & Concord Ln,casual,137
18,Halsted St & Clybourn Ave,casual,137
20,Broadway & Cornelia Ave,casual,137
23,LaSalle Dr & Huron St,casual,137
