hour,end_station_name,member_casual,count_of_users
13,New St & Illinois St,casual,111
14,Wells St & Hubbard St,casual,111
14,Clark St & Elm St,casual,111
15,Broadway & Waveland Ave,casual,111
20,Clinton St & Lake St,casual,111
18,Damen Ave & Thomas St (Augusta Blvd),casual,111
7,Damen Ave & Pierce Ave,casual,110
11,Ellis Ave & 55th St,casual,110
19,Racine Ave & Belmont Ave,casual,110
16,Wabash Ave & Grand Ave,casual,110
17,Racine Ave & Fullerton Ave,casual,110
18,Shore Dr & 55th St,casual,110
9,Wells St & Concord Ln,casual,110
7,Canal St & Madison St,casual,109
23,Clark St & Wrightwood Ave,casual,109
17,Franklin St & Jackson Blvd,casual,109
17,Damen Ave & Chicago Ave,casual,109
18,Green St & Randolph St*,casual,109
17,Dearborn Pkwy & Delaware Pl,casual,109
19,Fairbanks Ct & Grand Ave,casual,109
17,Wells St & Polk St,casual,109
18,Wells St & Polk St,casual,109
16,Larrabee St & Webster Ave,casual,109
19,Clinton St & Madison St,casual,109
14,Honore St & Division St,casual,109
12,California Ave & Milwaukee Ave,casual,109
12,Canal St & Madison St,casual,109
13,Fairbanks Ct & Grand Ave,casual,109
20,Pine Grove Ave & Waveland Ave,casual,109
9,Ashland Ave & Division St,casual,109
22,Ashland Ave & Division St,casual,108
14,Field Blvd & South Water St,casual,108
18,Lincoln Ave & Diversey Pkwy,casual,108
17,Wabash Ave & Grand Ave,casual,108
12,Clark St & Elm St,casual,108
16,Franklin St & Illinois St,casual,108
21,Halsted St & Clybourn Ave,casual,108
11,State St & Chicago Ave,casual,108
14,Larrabee St & Webster Ave,casual,108
15,Lakefront Trail & Wilson Ave,casual,108
14,Peoria St & Jackson Blvd,casual,108
17,Green St & Randolph St*,casual,108
17,Clark St & Chicago Ave,casual,108
15,Larrabee St & Webster Ave,casual,108
19,Wells St & Polk St,casual,108
8,Canal St & Jackson Blvd,casual,107
21,Southport Ave & Belmont Ave,casual,107
16,State St & Harrison St,casual,107
13,Wells St & Huron St,casual,107
14,New St & Illinois St,casual,107
18,Columbus Dr & Randolph St,casual,107
17,Damen Ave & Cortland St,casual,107
14,Dusable Harbor,casual,107
18,Franklin St & Adams St (Temp),casual,107
13,Peoria St & Jackson Blvd,casual,107
8,California Ave & Milwaukee Ave,casual,107
9,DuSable Lake Shore Dr & Monroe St,casual,107
16,Broadway & Barry Ave,casual,106
19,Dayton St & North Ave,casual,106
22,Broadway & Cornelia Ave,casual,106
17,Franklin St & Adams St (Temp),casual,106
9,Sheffield Ave & Fullerton Ave,casual,106
14,California Ave & Milwaukee Ave,casual,106
12,Kingsbury St & Kinzie St,casual,106
21,Theater on the Lake,casual,106
21,Canal St & Madison St,casual,105
17,Wells St & Elm St,casual,105
20,Southport Ave & Wellington Ave,casual,105
21,Mies van der Rohe Way & Chestnut St,casual,105
8,Kingsbury St & Kinzie St,casual,105
11,Clinton St & Lake St,casual,105
13,Wilton Ave & Belmont Ave,casual,105
23,DuSable Lake Shore Dr & Monroe St,casual,105
15,Desplaines St & Kinzie St,casual,105
21,Clark St & Winnemac Ave,casual,104
13,Dusable Harbor,casual,104
12,State St & Kinzie St,casual,104
12,Ellis Ave & 55th St,casual,104
17,Blue Island Ave & 18th St,casual,104
12,Field Museum,casual,104
14,Clark St & Newport St,casual,104
19,Wells St & Hubbard St,casual,104
20,Wabash Ave & Wacker Pl,casual,104
20,Rush St & Superior St,casual,104
13,Michigan Ave & 8th St,casual,104
18,Clark St & Grace St,casual,104
