start_station_name,member_casual,count_of_users,,,start_station_name,count_of_users
Fairfield Ave & 44th St,casual,86,,,,
Ridge Blvd & Touhy Ave,casual,86,,,,
Calumet Ave & 51st St,casual,85,,,,
Western Ave & Howard St,casual,84,,,,
Western Ave & 111th St,casual,84,,,,
California Ave & 23rd Pl,casual,82,,,,
Cottage Grove Ave & 43rd St,casual,82,,,,
Kedzie Ave & Bryn Mawr Ave,casual,82,,,,
Rockwell St & Cermak Rd,casual,81,,,,
California Ave & 21st St,casual,81,,,,
Lincoln Ave & Balmoral Ave,casual,81,,,,
Racine Ave & 13th St,casual,80,,,,
MLK Jr Dr & 47th St,casual,80,,,,
Loomis St & Archer Ave,casual,80,,,,
Perry Ave & 69th St,casual,79,,,,
State St & 29th St,casual,77,,,,
Washtenaw Ave & Polk St,casual,76,,,,
Valli Produce - Evanston Plaza,casual,76,,,,
W Washington Blvd & N Peoria St,casual,75,,,,
Kedzie Ave & 21st St,casual,73,,,,
Kenosha & Wellington,casual,73,,,,
Lavergne & Fullerton,casual,72,,,,
Ridge Blvd & Howard St,casual,71,,,,
Rockwell St & Archer Ave,casual,70,,,,
Oakley Ave & Touhy Ave,casual,70,,,,
DuSable Museum,casual,70,,,,
South Shore Dr & 67th St,casual,69,,,,
Clinton St & Polk St,casual,68,,,,
Public Rack - Pulaski Rd & Armitage Ave,casual,67,,,,
South Shore Dr & 71st St,casual,66,,,,
Maplewood Ave & Peterson Ave,casual,66,,,,
Lincoln Ave & Melrose St,casual,66,,,,
Lamon Ave & Belmont Ave,casual,65,,,,
Dorchester Ave & 49th St,casual,65,,,,
Cicero Ave & Lake St,casual,65,,,,
Public Rack - Lowell Ave & Elston Ave,casual,65,,,,
2112 W Peterson Ave,casual,64,,,,
Lockwood Ave & Wrightwood Ave,casual,64,,,,
Kilbourn Ave & Irving Park Rd,casual,63,,,,
Kedzie Ave & 57th St,casual,63,,,,
Fullerton & Monitor,casual,63,,,,
Western Ave & 24th St,casual,62,,,,
Kostner Ave & Wrightwood Ave,casual,61,,,,
Kilpatrick Ave & Parker Ave,casual,61,,,,
Nordica & Medill,casual,61,,,,
Washtenaw Ave & Peterson Ave,casual,60,,,,
Mulligan Ave & Wellington Ave,casual,60,,,,
St Louis Ave & 59th St,casual,60,,,,
Warren Park East,casual,60,,,,
Public Rack - Midway Orange Line,casual,59,,,,
Oak Park & Wellington,casual,59,,,,
Lincoln Ave & Peterson Ave,casual,59,,,,
Wood St & 35th St,casual,59,,,,
Bosworth Ave & Howard St,casual,58,,,,
Wentworth Ave & 24th St (Temp),casual,57,,,,
Milwaukee Ave & Cuyler Ave,casual,57,,,,
Normal Ave & Archer Ave,casual,57,,,,
Austin Blvd & Lake St,casual,57,,,,
Pulaski Rd & 60th St,casual,56,,,,
Wolcott Ave & Fargo Ave,casual,56,,,,
Archer (Damen) Ave & 37th St,casual,56,,,,
