hour,start_station_name,member_casual,count_of_users
8,Wells St & Hubbard St,casual,117
11,Wells St & Concord Ln,casual,117
18,Federal St & Polk St,casual,117
16,Racine Ave & Fullerton Ave,casual,117
12,Ellis Ave & 60th St,casual,117
17,Franklin St & Lake St,casual,117
15,State St & Chicago Ave,casual,117
15,McClurg Ct & Ohio St,casual,117
13,Lincoln Park Conservatory,casual,117
17,Rush St & Cedar St,casual,117
20,Wells St & Elm St,casual,117
18,Clark St & Grace St,casual,117
18,University Ave & 57th St,casual,116
19,Broadway & Cornelia Ave,casual,116
18,Green St & Madison St,casual,116
16,Lakeview Ave & Fullerton Pkwy,casual,116
15,Clark St & Winnemac Ave,casual,116
12,Kingsbury St & Kinzie St,casual,116
18,Western Ave & Winnebago Ave,casual,116
16,Southport Ave & Roscoe St,casual,116
15,Kedzie Ave & Milwaukee Ave,casual,116
11,Michigan Ave & Washington St,casual,116
19,Michigan Ave & Lake St,casual,116
10,Millennium Park,casual,116
19,DuSable Lake Shore Dr & Wellington Ave,casual,116
17,Sedgwick St & Webster Ave,casual,115
14,Wilton Ave & Belmont Ave,casual,115
19,New St & Illinois St,casual,115
15,Larrabee St & Webster Ave,casual,115
12,Daley Center Plaza,casual,115
19,Halsted St & Clybourn Ave,casual,115
18,McClurg Ct & Ohio St,casual,114
12,Clark St & Elm St,casual,114
17,Franklin St & Illinois St,casual,114
19,Wabash Ave & Roosevelt Rd,casual,114
17,Southport Ave & Roscoe St,casual,114
20,Clark St & Armitage Ave,casual,114
15,Wells St & Huron St,casual,114
17,Lincoln Park Conservatory,casual,114
18,Clinton St & Madison St,casual,113
17,Lincoln Ave & Diversey Pkwy,casual,113
10,Michigan Ave & Lake St,casual,113
15,Wilton Ave & Diversey Pkwy,casual,113
12,Indiana Ave & Roosevelt Rd,casual,113
11,Dusable Harbor,casual,113
14,Ellis Ave & 60th St,casual,112
17,Ellis Ave & 55th St,casual,112
16,Wood St & Milwaukee Ave,casual,112
17,Kingsbury St & Erie St,casual,112
14,St. Clair St & Erie St,casual,112
19,Halsted St & Roscoe St,casual,112
14,Broadway & Cornelia Ave,casual,112
12,Damen Ave & Pierce Ave,casual,112
18,Broadway & Belmont Ave,casual,112
13,Clark St & Lincoln Ave,casual,112
18,Southport Ave & Roscoe St,casual,112
16,Broadway & Waveland Ave,casual,112
14,New St & Illinois St,casual,112
15,DuSable Lake Shore Dr & Wellington Ave,casual,112
17,Clark St & Grace St,casual,112
21,Michigan Ave & Oak St,casual,112
20,Theater on the Lake,casual,112
13,Sheffield Ave & Waveland Ave,casual,111
19,Michigan Ave & 8th St,casual,111
19,Wells St & Elm St,casual,111
11,DuSable Lake Shore Dr & Diversey Pkwy,casual,111
20,Wells St & Concord Ln,casual,111
13,Clark St & Winnemac Ave,casual,111
17,Sheridan Rd & Montrose Ave,casual,111
13,Clark St & Elm St,casual,111
16,Wabash Ave & Wacker Pl,casual,111
18,Lincoln Park Conservatory,casual,111
16,LaSalle St & Jackson Blvd,casual,110
19,Sheffield Ave & Wrightwood Ave,casual,110
17,Sedgwick St & Huron St,casual,110
18,Wood St & Milwaukee Ave,casual,110
13,Wabash Ave & Grand Ave,casual,110
21,Clark St & Newport St,casual,110
17,Milwaukee Ave & Wabansia Ave,casual,109
12,Dearborn St & Monroe St,casual,109
17,LaSalle St & Jackson Blvd,casual,109
14,State St & Chicago Ave,casual,109
15,Racine Ave & Fullerton Ave,casual,109
12,Wells St & Elm St,casual,109
12,Wells St & Concord Ln,casual,109
18,Cityfront Plaza Dr & Pioneer Ct,casual,108
16,Wells St & Hubbard St,casual,108
17,Ritchie Ct & Banks St,casual,108
17,Sheridan Rd & Irving Park Rd,casual,108
19,Sheffield Ave & Fullerton Ave,casual,108
14,Sheffield Ave & Waveland Ave,casual,108
18,Honore St & Division St,casual,108
21,DuSable Lake Shore Dr & North Blvd,casual,108
13,Michigan Ave & 8th St,casual,107
16,St. Clair St & Erie St,casual,107
16,Clinton St & Madison St,casual,107
15,Broadway & Waveland Ave,casual,107
16,Kingsbury St & Erie St,casual,107
12,Clark St & Wrightwood Ave,casual,107
16,Cityfront Plaza Dr & Pioneer Ct,casual,107
17,Wabash Ave & Wacker Pl,casual,107
12,Clark St & Newport St,casual,107
14,Lincoln Ave & Fullerton Ave,casual,107
15,Southport Ave & Waveland Ave,casual,107
13,Damen Ave & Pierce Ave,casual,107
15,LaSalle St & Jackson Blvd,casual,107
21,DuSable Lake Shore Dr & Monroe St,casual,107
18,Lakefront Trail & Bryn Mawr Ave,casual,107
20,Montrose Harbor,casual,107
15,St. Clair St & Erie St,casual,107
12,Field Museum,casual,106
17,Clark St & Chicago Ave,casual,106
15,Milwaukee Ave & Grand Ave,casual,106
16,Fairbanks Ct & Grand Ave,casual,106
19,Shedd Aquarium,casual,106
9,Streeter Dr & Grand Ave,casual,106
21,Wilton Ave & Belmont Ave,casual,106
19,Racine Ave & Belmont Ave,casual,106
16,DuSable Lake Shore Dr & Wellington Ave,casual,106
8,Wells St & Elm St,casual,106
11,Theater on the Lake,casual,106
19,Sheffield Ave & Waveland Ave,casual,106
16,Lakefront Trail & Bryn Mawr Ave,casual,106
19,Michigan Ave & Washington St,casual,105
18,Sheridan Rd & Irving Park Rd,casual,105
13,Sheffield Ave & Fullerton Ave,casual,105
19,Dearborn St & Erie St,casual,105
18,Franklin St & Chicago Ave,casual,105
14,Wells St & Huron St,casual,105
13,St. Clair St & Erie St,casual,105
19,Fairbanks Ct & Grand Ave,casual,105
13,Halsted St & Roscoe St,casual,105
12,Adler Planetarium,casual,104
14,Damen Ave & Pierce Ave,casual,104
16,Broadway & Sheridan Rd,casual,104
17,Racine Ave & Fullerton Ave,casual,104
19,Lakeview Ave & Fullerton Pkwy,casual,104
17,Franklin St & Monroe St,casual,104
13,Lakeview Ave & Fullerton Pkwy,casual,104
15,Daley Center Plaza,casual,103
16,State St & Randolph St,casual,103
18,Pine Grove Ave & Irving Park Rd,casual,103
15,Clinton St & Washington Blvd,casual,103
17,State St & Randolph St,casual,103
18,Ellis Ave & 55th St,casual,103
8,Damen Ave & Pierce Ave,casual,103
15,Wood St & Milwaukee Ave,casual,103
12,Montrose Harbor,casual,103
16,Green St & Madison St,casual,103
16,Wells St & Evergreen Ave,casual,103
15,Clark St & Drummond Pl,casual,103
16,Racine Ave & Belmont Ave,casual,103
22,Streeter Dr & Grand Ave,casual,103
16,Clark St & Wellington Ave,casual,103
14,Lakefront Trail & Bryn Mawr Ave,casual,103
11,Columbus Dr & Randolph St,casual,102
9,Kingsbury St & Kinzie St,casual,102
14,Wells St & Elm St,casual,102
12,Broadway & Waveland Ave,casual,102
14,Clark St & Newport St,casual,102
15,Lincoln Ave & Fullerton Ave,casual,102
14,Broadway & Waveland Ave,casual,102
19,DuSable Lake Shore Dr & Belmont Ave,casual,102
16,Clark St & Winnemac Ave,casual,102
16,Federal St & Polk St,casual,102
18,California Ave & Milwaukee Ave,casual,102
9,DuSable Lake Shore Dr & Monroe St,casual,102
16,Desplaines St & Kinzie St,casual,102
16,Halsted St & Fulton St,casual,102
14,Fairbanks Ct & Grand Ave,casual,101
15,New St & Illinois St,casual,101
19,State St & Chicago Ave,casual,101
17,Aberdeen St & Randolph St,casual,101
13,LaSalle St & Illinois St,casual,101
17,Southport Ave & Wellington Ave,casual,101
12,Dearborn St & Erie St,casual,101
15,Wabash Ave & Roosevelt Rd,casual,101
18,Wells St & Hubbard St,casual,101
18,Franklin St & Jackson Blvd,casual,101
12,DuSable Lake Shore Dr & Wellington Ave,casual,101
15,Broadway & Barry Ave,casual,100
18,Milwaukee Ave & Wabansia Ave,casual,100
16,Kimbark Ave & 53rd St,casual,100
8,LaSalle St & Illinois St,casual,100
18,Damen Ave & Cortland St,casual,100
9,Michigan Ave & Lake St,casual,100
20,Indiana Ave & Roosevelt Rd,casual,100
16,Rush St & Superior St,casual,100
17,Southport Ave & Wrightwood Ave,casual,100
9,Michigan Ave & Oak St,casual,100
16,Milwaukee Ave & Wabansia Ave,casual,100
13,Clark St & Wrightwood Ave,casual,100
16,Sheffield Ave & Wrightwood Ave,casual,100
21,Clark St & Grace St,casual,100
13,Wilton Ave & Belmont Ave,casual,100
18,Kedzie Ave & Milwaukee Ave,casual,100
17,Franklin St & Chicago Ave,casual,99
16,Milwaukee Ave & Grand Ave,casual,99
22,Halsted St & Roscoe St,casual,99
7,Kingsbury St & Kinzie St,casual,99
16,Dearborn Pkwy & Delaware Pl,casual,99
11,University Ave & 57th St,casual,99
20,Clark St & Wrightwood Ave,casual,99
14,Pine Grove Ave & Waveland Ave,casual,99
22,Southport Ave & Waveland Ave,casual,99
15,Dearborn St & Erie St,casual,99
10,Broadway & Barry Ave,casual,99
20,Clark St & Lincoln Ave,casual,99
14,McClurg Ct & Ohio St,casual,99
19,Clark St & Schiller St,casual,99
19,Federal St & Polk St,casual,99
21,Clark St & Armitage Ave,casual,99
22,DuSable Lake Shore Dr & North Blvd,casual,99
16,Lakefront Trail & Wilson Ave,casual,98
12,Michigan Ave & 8th St,casual,98
14,Franklin St & Jackson Blvd,casual,98
20,Wabash Ave & Grand Ave,casual,98
16,Dearborn St & Adams St,casual,98
21,Michigan Ave & Lake St,casual,98
11,Indiana Ave & Roosevelt Rd,casual,98
13,Wabash Ave & 9th St,casual,98
16,Sheffield Ave & Webster Ave,casual,98
10,Ellis Ave & 60th St,casual,98
13,Ellis Ave & 55th St,casual,97
21,Clark St & Wrightwood Ave,casual,97
19,Sheffield Ave & Webster Ave,casual,97
17,Wabash Ave & 9th St,casual,97
14,Dearborn St & Monroe St,casual,97
11,Clark St & Lincoln Ave,casual,97
17,Clark St & Drummond Pl,casual,97
12,St. Clair St & Erie St,casual,97
17,Desplaines St & Randolph St,casual,97
15,California Ave & Milwaukee Ave,casual,97
19,Sheffield Ave & Wellington Ave,casual,97
14,Halsted St & Clybourn Ave,casual,97
11,Broadway & Barry Ave,casual,97
