seasons,start_station_name,member_casual,count_of_users
2023SpringRide,N Green St & W Lake St,casual,249
2023FallRide,Michigan Ave & 8th St,casual,249
2023SpringRide,Larrabee St & Division St,casual,248
2023SpringRide,Clinton St & Roosevelt Rd,casual,248
2023SpringRide,Chicago Ave & Sheridan Rd,casual,248
2023SummerRide,Morgan St & Lake St*,casual,248
2023FallRide,Canal St & Adams St,casual,248
2023SpringRide,Michigan Ave & Madison St,casual,247
2023SummerRide,LaSalle St & Washington St,casual,246
2023FallRide,Daley Center Plaza,casual,246
2023SummerRide,Southport Ave & Clybourn Ave,casual,245
2023SpringRide,Southport Ave & Wrightwood Ave,casual,244
2023SummerRide,Halsted St & Maxwell St,casual,244
2023FallRide,Michigan Ave & 14th St,casual,244
2023SummerRide,Ashland Ave & Blackhawk St,casual,243
2023SpringRide,Jefferson St & Monroe St,casual,242
2023SummerRide,Greenview Ave & Diversey Pkwy,casual,242
2023SummerRide,Ashland Ave & Grace St,casual,241
2023SummerRide,Clinton St & Roosevelt Rd,casual,241
2023FallRide,Clarendon Ave & Junior Ter,casual,241
2023SpringRide,Bissell St & Armitage Ave*,casual,240
2023SummerRide,Wentworth Ave & Cermak Rd,casual,240
2023SummerRide,Aberdeen St & Monroe St,casual,240
2023SummerRide,Michigan Ave & Pearson St,casual,240
2023SpringRide,Franklin St & Adams St (Temp),casual,239
2023SpringRide,Pine Grove Ave & Irving Park Rd,casual,239
2023SummerRide,Campbell Ave & North Ave,casual,239
2023SpringRide,Halsted St & Willow St,casual,238
2023SummerRide,Broadway & Berwyn Ave,casual,238
2023SummerRide,Lincoln Ave & Sunnyside Ave,casual,237
2023SpringRide,Orleans St & Chestnut St (NEXT Apts),casual,236
2023FallRide,State St & Kinzie St,casual,236
2023FallRide,Clark St & Berwyn Ave,casual,236
2023SummerRide,Blackstone Ave & Hyde Park Blvd,casual,235
2023FallRide,Halsted St & Fulton St,casual,235
2023SpringRide,Clark St & Bryn Mawr Ave,casual,234
2023SpringRide,Orleans St & Hubbard St,casual,234
2023FallRide,Southport Ave & Wrightwood Ave,casual,234
2023FallRide,Clark St & North Ave,casual,234
2023SpringRide,Southport Ave & Belmont Ave,casual,233
2023FallRide,State St & Randolph St,casual,233
2023SpringRide,Buckingham Fountain,casual,232
2023SpringRide,Clarendon Ave & Gordon Ter,casual,231
2023SummerRide,Morgan St & 18th St,casual,231
